iter	Passed	Remaining
619	985	604
620	986	602
621	987	600
622	988	598
623	989	596
624	990	594
625	991	592
626	991	590
627	992	588
628	993	586
629	994	584
630	995	582
631	996	580
632	997	578
633	998	576
634	999	574
635	999	572
636	1000	570
637	1001	568
638	1002	566
639	1003	564
640	1004	562
641	1005	560
642	1006	558
643	1007	557
644	1008	555
645	1009	553
646	1011	551
647	1012	549
648	1013	548
649	1014	546
650	1015	544
651	1016	542
652	1017	540
653	1017	538
654	1018	536
655	1019	534
656	1020	532
657	1021	530
658	1022	529
659	1023	527
660	1024	525
661	1025	523
662	1026	521
663	1026	519
664	1027	517
665	1028	515
666	1029	514
667	1030	512
668	1031	510
669	1032	508
670	1033	506
671	1034	504
672	1035	503
673	1036	501
674	1037	499
675	1038	497
676	1038	495
677	1039	493
678	1040	492
679	1041	490
680	1042	488
681	1043	486
682	1044	484
683	1045	482
684	1046	481
685	1047	479
686	1047	477
687	1048	475
688	1049	473
689	1050	472
690	1051	470
691	1052	468
692	1053	466
693	1054	464
694	1055	463
695	1056	461
696	1057	459
697	1058	457
698	1059	456
699	1060	454
700	1060	452
701	1061	450
702	1062	448
703	1063	447
704	1064	445
705	1065	443
706	1065	441
707	1066	440
708	1067	438
709	1069	436
710	1070	434
711	1071	433
712	1072	431
713	1072	429
714	1073	428
715	1074	426
716	1075	424
717	1076	422
718	1077	421
719	1078	419
720	1079	417
721	1080	415
722	1080	414
723	1081	412
724	1082	410
725	1083	409
726	1084	407
727	1085	405
728	1086	404
729	1088	402
730	1089	400
731	1089	399
732	1090	397
733	1091	395
734	1092	394
735	1093	392
736	1094	390
737	1095	388
738	1096	387
739	1097	385
740	1098	383
741	1099	382
742	1100	380
743	1101	378
744	1102	377
745	1103	375
746	1104	373
747	1105	372
748	1105	370
749	1106	368
750	1107	367
751	1108	365
752	1109	363
753	1110	362
754	1111	360
755	1112	358
756	1113	357
757	1114	355
758	1115	354
759	1115	352
760	1116	350
761	1117	349
762	1118	347
763	1119	345
764	1120	344
765	1121	342
766	1122	340
767	1123	339
768	1123	337
769	1124	336
770	1125	334
771	1126	332
772	1127	331
773	1128	329
774	1129	328
775	1130	326
776	1131	324
777	1132	323
778	1133	321
779	1134	319
780	1135	318
781	1136	316
782	1136	315
783	1137	313
784	1138	311
785	1140	310
786	1141	308
787	1142	307
788	1143	305
789	1144	304
790	1145	302
791	1146	301
792	1147	299
793	1148	297
794	1149	296
795	1149	294
796	1150	293
797	1151	291
798	1152	289
799	1153	288
800	1154	286
801	1155	285
802	1156	283
803	1157	282
804	1158	280
805	1159	278
806	1160	277
807	1160	275
808	1161	274
809	1162	272
810	1163	271
811	1164	269
812	1165	268
813	1166	266
814	1167	264
815	1168	263
816	1168	261
817	1169	260
818	1170	258
819	1171	257
820	1172	255
821	1173	254
822	1174	252
823	1175	251
824	1176	249
825	1177	247
826	1177	246
827	1178	244
828	1179	243
829	1180	241
830	1181	240
831	1182	238
832	1183	237
833	1184	235
834	1185	234
835	1186	232
836	1187	231
837	1188	229
838	1189	228
839	1190	226
840	1191	225
841	1192	223
842	1193	222
843	1193	220
844	1194	219
845	1195	217
846	1196	216
847	1197	214
848	1198	213
849	1199	211
850	1200	210
851	1201	208
852	1202	207
853	1203	205
854	1204	204
855	1204	202
856	1205	201
857	1206	199
858	1207	198
859	1208	196
860	1209	195
861	1210	193
862	1211	192
863	1212	190
864	1213	189
865	1213	187
866	1214	186
867	1215	184
868	1216	183
869	1217	181
870	1218	180
871	1219	179
872	1220	177
873	1221	176
874	1222	174
875	1223	173
876	1224	171
877	1224	170
878	1225	168
879	1226	167
880	1227	165
881	1228	164
882	1229	162
883	1230	161
884	1231	159
885	1232	158
886	1233	157
887	1234	155
888	1235	154
889	1235	152
890	1236	151
891	1237	149
892	1238	148
893	1239	146
894	1240	145
895	1241	144
896	1242	142
897	1243	141
898	1244	139
899	1245	138
900	1246	136
901	1247	135
902	1247	134
903	1248	132
904	1249	131
905	1250	129
906	1251	128
907	1252	126
908	1253	125
909	1254	124
910	1255	122
911	1256	121
912	1256	119
913	1257	118
914	1258	116
915	1259	115
916	1260	114
917	1261	112
918	1262	111
919	1263	109
920	1264	108
921	1265	107
922	1266	105
923	1266	104
924	1268	102
925	1269	101
926	1270	100
927	1271	98
928	1272	97
929	1273	95
930	1274	94
931	1275	93
932	1276	91
933	1277	90
934	1278	88
935	1279	87
936	1280	86
937	1280	84
938	1281	83
939	1282	81
940	1283	80
941	1284	79
942	1285	77
943	1286	76
944	1287	74
945	1287	73
946	1288	72
947	1289	70
948	1290	69
949	1291	67
950	1292	66
951	1293	65
952	1294	63
953	1295	62
954	1296	61
955	1297	59
956	1298	58
957	1299	56
958	1299	55
959	1300	54
960	1301	52
961	1302	51
962	1303	50
963	1304	48
964	1305	47
965	1306	45
966	1307	44
967	1308	43
968	1309	41
969	1310	40
970	1310	39
971	1311	37
972	1312	36
973	1313	35
974	1314	33
975	1315	32
976	1316	30
977	1317	29
978	1318	28
979	1319	26
980	1320	25
981	1321	24
982	1321	22
983	1322	21
984	1323	20
985	1325	18
986	1326	17
987	1326	16
988	1327	14
989	1328	13
990	1329	12
991	1330	10
992	1331	9
993	1332	8
994	1333	6
995	1334	5
996	1335	4
997	1336	2
998	1337	1
999	1338	0
